traceid,timestamp,edge_id,um,dm,ms_name,rt,cpu,memory,route_cost
0b5205cd15919237925862000e7f96,192589,-1.-1,3;2;/home/chenxin/requests/01-simple-test/000038313.csv,-1,virtual_root,0,0.0,0.0,0.0
0b5205cd15919237925862000e7f96,192590,-1.0,-1,0,ms_119.json,14,1.0,1.0,20.0
0b5205cd15919237925862000e7f96,192605,-1.1,-1,1,ms_115.json,13,0.1706688215073678,0.5558761022760877,5.0
0b5205cd15919237925862000e7f96,192605,-1.2,-1,2,ms_14.json,1,1.0,1.0,1.0
0b5205cd15919237925862000e7f96,192605,-1.3,-1,3,ms_13.json,1,1.0,1.0,8.0
0b5205cd15919237925862000e7f96,192605,-1.4,-1,4,ms_34.json,2,1.0,1.0,19.0
0b5205cd15919237925862000e7f96,192606,1.5,1,5,ms_70.json,12,1.0,1.0,4.0
0b5205cd15919237925862000e7f96,192606,1.11,1,11,ms_118.json,1,1.0,1.0,5.0
0b5205cd15919237925862000e7f96,192606,-1.7,-1,7,ms_2.json,1,1.0,1.0,20.0
0b5205cd15919237925862000e7f96,192606,-1.8,-1,8,ms_10.json,1,1.0,1.0,2.0
0b5205cd15919237925862000e7f96,192606,1.9,1,9,ms_57.json,2,1.0,1.0,11.0
0b5205cd15919237925862000e7f96,192607,-1.10,-1,10,ms_18.json,1,1.0,1.0,14.0
0b5205cd15919237925862000e7f96,192607,5.11,5,11,ms_118.json,2,1.0,1.0,5.0
0b5205cd15919237925862000e7f96,192607,5.12,5,12,ms_41.json,1,1.0,1.0,14.0
0b5205cd15919237925862000e7f96,192607,-1.13,-1,13,ms_78.json,1,1.0,1.0,19.0
0b5205cd15919237925862000e7f96,192609,-1.14,-1,14,ms_68.json,2,1.0,1.0,12.0
0b5205cd15919237925862000e7f96,192611,5.15,5,15,ms_134.json,3,0.0395563321092796,0.6477786006022112,16.0
0b5205cd15919237925862000e7f96,192611,5.16,5,16,ms_66.json,2,1.0,1.0,15.0
0b5205cd15919237925862000e7f96,192612,15.17,15,17,ms_25.json,2,1.0,1.0,3.0
0b5205cd15919237925862000e7f96,192612,17.18,17,18,ms_23.json,2,1.0,1.0,20.0
0b5205cd15919237925862000e7f96,192612,5.19,5,19,ms_15.json,3,0.0425848931576312,0.6028071976370282,1.0
