traceid,timestamp,edge_id,um,dm,ms_name,rt,cpu,memory,route_cost
0b52058a15919236819459000eb512,81948,-1.-1,4;8;/home/chenxin/requests/01-simple-test/000016025.csv,-1,virtual_root,0,0.0,0.0,0.0
0b52058a15919236819459000eb512,81949,-1.0,-1,0,ms_119.json,2,1.0,1.0,20.0
0b52058a15919236819459000eb512,81953,-1.1,-1,1,ms_41.json,1,1.0,1.0,14.0
0b52058a15919236819459000eb512,81953,-1.2,-1,2,ms_120.json,2,1.0,1.0,12.0
0b52058a15919236819459000eb512,81955,-1.3,-1,3,ms_110.json,2,1.0,1.0,14.0
0b52058a15919236819459000eb512,81964,-1.4,-1,4,ms_2.json,1,1.0,1.0,20.0
0b52058a15919236819459000eb512,81965,-1.5,-1,5,ms_140.json,1,1.0,1.0,15.0
0b52058a15919236819459000eb512,81967,-1.6,-1,6,ms_141.json,1,1.0,1.0,6.0
0b52058a15919236819459000eb512,81969,-1.7,-1,7,ms_22.json,1,1.0,1.0,5.0
0b52058a15919236819459000eb512,81969,-1.8,-1,8,ms_106.json,1,1.0,1.0,20.0
0b52058a15919236819459000eb512,81971,-1.9,-1,9,ms_85.json,1,1.0,1.0,7.0
0b52058a15919236819459000eb512,81972,-1.10,-1,10,ms_31.json,1,1.0,1.0,19.0
0b52058a15919236819459000eb512,81974,-1.11,-1,11,ms_42.json,22,0.0532430920888071,0.3138551880419254,14.0
0b52058a15919236819459000eb512,81975,11.12,11,12,ms_103.json,2,1.0,1.0,11.0
0b52058a15919236819459000eb512,81977,11.13,11,13,ms_55.json,2,1.0,1.0,3.0
0b52058a15919236819459000eb512,81979,11.14,11,14,ms_20.json,2,1.0,1.0,9.0
0b52058a15919236819459000eb512,82012,-1.15,-1,15,ms_108.json,1,1.0,1.0,10.0
0b52058a15919236819459000eb512,82014,-1.16,-1,16,ms_7.json,1,1.0,1.0,8.0
0b52058a15919236819459000eb512,82015,-1.17,-1,17,ms_34.json,10,1.0,1.0,19.0
0b52058a15919236819459000eb512,82029,-1.18,-1,18,ms_4.json,1,1.0,1.0,1.0
0b52058a15919236819459000eb512,82033,-1.19,-1,19,ms_137.json,2,1.0,1.0,2.0
