traceid,timestamp,edge_id,um,dm,ms_name,rt,cpu,memory,route_cost
0b1429c215919237045885000ef762,104589,-1.-1,0;12;/home/chenxin/requests/01-simple-test/000020655.csv,-1,virtual_root,0,0.0,0.0,0.0
0b1429c215919237045885000ef762,104590,-1.0,-1,0,ms_114.json,1,1.0,1.0,19.0
0b1429c215919237045885000ef762,104591,-1.1,-1,1,ms_14.json,3,1.0,1.0,1.0
0b1429c215919237045885000ef762,104592,-1.2,-1,2,ms_115.json,26,0.1706688215073678,0.5558761022760877,5.0
0b1429c215919237045885000ef762,104592,2.9,2,9,ms_118.json,2,1.0,1.0,5.0
0b1429c215919237045885000ef762,104592,2.4,2,4,ms_70.json,25,1.0,1.0,4.0
0b1429c215919237045885000ef762,104592,2.5,2,5,ms_57.json,2,1.0,1.0,11.0
0b1429c215919237045885000ef762,104593,4.6,4,6,ms_41.json,2,1.0,1.0,14.0
0b1429c215919237045885000ef762,104593,4.7,4,7,ms_120.json,1,1.0,1.0,12.0
0b1429c215919237045885000ef762,104593,-1.8,-1,8,ms_13.json,2,1.0,1.0,8.0
0b1429c215919237045885000ef762,104594,4.9,4,9,ms_118.json,2,1.0,1.0,5.0
0b1429c215919237045885000ef762,104594,-1.10,-1,10,ms_34.json,1,1.0,1.0,19.0
0b1429c215919237045885000ef762,104595,-1.11,-1,11,ms_10.json,1,1.0,1.0,2.0
0b1429c215919237045885000ef762,104596,-1.12,-1,12,ms_2.json,1,1.0,1.0,20.0
0b1429c215919237045885000ef762,104597,-1.13,-1,13,ms_18.json,2,1.0,1.0,14.0
0b1429c215919237045885000ef762,104597,-1.14,-1,14,ms_78.json,1,1.0,1.0,19.0
0b1429c215919237045885000ef762,104600,-1.15,-1,15,ms_68.json,3,1.0,1.0,12.0
0b1429c215919237045885000ef762,104600,4.16,4,16,ms_66.json,2,1.0,1.0,15.0
0b1429c215919237045885000ef762,104601,4.17,4,17,ms_15.json,3,0.0425848931576312,0.6028071976370282,1.0
0b1429c215919237045885000ef762,104603,4.18,4,18,ms_134.json,11,0.0395563321092796,0.6477786006022112,16.0
0b1429c215919237045885000ef762,104603,18.19,18,19,ms_25.json,9,1.0,1.0,3.0
