traceid,timestamp,edge_id,um,dm,ms_name,rt,cpu,memory,route_cost
0b12e0a915919236276847000e9a68,27709,-1.-1,2;11;/home/chenxin/requests/01-simple-test/000005267.csv,-1,virtual_root,0,0.0,0.0,0.0
0b12e0a915919236276847000e9a68,27710,-1.0,-1,0,ms_117.json,1,1.0,1.0,12.0
0b12e0a915919236276847000e9a68,27714,-1.1,-1,1,ms_41.json,1,1.0,1.0,14.0
0b12e0a915919236276847000e9a68,27714,-1.2,-1,2,ms_120.json,2,1.0,1.0,12.0
0b12e0a915919236276847000e9a68,27719,-1.3,-1,3,ms_2.json,2,1.0,1.0,20.0
0b12e0a915919236276847000e9a68,27722,-1.4,-1,4,ms_96.json,4,1.0,1.0,5.0
0b12e0a915919236276847000e9a68,27725,-1.5,-1,5,ms_27.json,2,1.0,1.0,10.0
0b12e0a915919236276847000e9a68,27726,-1.6,-1,6,ms_135.json,1,1.0,1.0,19.0
0b12e0a915919236276847000e9a68,27728,-1.7,-1,7,ms_32.json,2,1.0,1.0,2.0
0b12e0a915919236276847000e9a68,27731,-1.8,-1,8,ms_0.json,1,1.0,1.0,15.0
0b12e0a915919236276847000e9a68,27732,-1.9,-1,9,ms_128.json,1,1.0,1.0,14.0
0b12e0a915919236276847000e9a68,27732,-1.10,-1,10,ms_42.json,9,0.0532430920888071,0.3138551880419254,14.0
0b12e0a915919236276847000e9a68,27735,10.11,10,11,ms_103.json,1,1.0,1.0,11.0
0b12e0a915919236276847000e9a68,27741,-1.12,-1,12,ms_125.json,95,0.2047185834782815,0.5037661533678318,13.0
0b12e0a915919236276847000e9a68,27741,-1.16,-1,16,ms_116.json,1,1.0,1.0,19.0
0b12e0a915919236276847000e9a68,27745,6.14,6,14,ms_91.json,1,1.0,1.0,6.0
0b12e0a915919236276847000e9a68,27745,14.15,14,15,ms_88.json,1,1.0,1.0,16.0
0b12e0a915919236276847000e9a68,27812,12.16,12,16,ms_116.json,2,1.0,1.0,19.0
0b12e0a915919236276847000e9a68,27835,-1.17,-1,17,ms_54.json,1,1.0,1.0,18.0
0b12e0a915919236276847000e9a68,27835,-1.18,-1,18,ms_81.json,44,1.0,1.0,15.0
0b12e0a915919236276847000e9a68,27920,-1.19,-1,19,ms_79.json,2,1.0,1.0,5.0
0b12e0a915919236276847000e9a68,27922,-1.20,-1,20,ms_68.json,2,1.0,1.0,12.0
0b12e0a915919236276847000e9a68,27923,-1.21,-1,21,ms_34.json,2,1.0,1.0,19.0
